#V (V)	I (A)	T (°C)	R (Ω)
2.006	0.356	21.3	5.635
2.002	0.368	22.8	5.440
2.001	0.385	24.1	5.197
1.995	0.408	25.7	4.890
1.992	0.428	27.2	4.654
1.99	0.449	28.7	4.432
1.988	0.473	30.2	4.203
1.986	0.498	31.7	3.988
1.984	0.52	32.9	3.815
1.982	0.551	34.6	3.597
1.978	0.581	36.1	3.404
1.977	0.606	37.6	3.262
1.9977	0.637	39.1	3.136
1.977	0.669	40.5	2.955
1.973	0.702	42.1	2.811
1.972	0.738	43.2	2.672
1.969	0.771	44.6	2.554
1.967	0.808	46.1	2.434
1.965	0.846	47.5	2.323
1.962	0.882	48.8	2.224
1.96	0.923	50.2	2.124
1.959	0.964	51.7	2.032
1.955	1.022	53.6	1.913
1.953	1.048	54.4	1.864
1.951	1.077	54.9	1.812
